Date,Season,Station,Depth,YSI_Temp,YSI_Salinity,YSI_DO,YSI_pH,POC,NOx,NH4,PO4,TotalChla,Distance
1999-01-05,Winter,0,1,6.4,0.0,10.57,8.06,1070.7,1099.89,53.44,16.22,0.2194788525,0.0
1999-01-05,Winter,0,2,6.43,0.1,9.96,7.77,1141.6666666666665,1108.73,58.17,20.92,0.7987088343,0.0
1999-01-05,Winter,20,1,6.64,0.1,10.74,8.24,1076.3,1114.91,52.17,19.0,1.002726269,8.672616
1999-01-05,Winter,20,2,6.71,0.1,9.94,7.94,1281.0666666666666,1120.9,56.45,22.18,1.210042197,8.672616
1999-01-05,Winter,30,1,6.84,0.5,10.65,8.0,750.3333333333334,930.14,82.34,19.32,0.7390953285,14.701952
1999-01-05,Winter,30,2,8.94,7.8,8.97,7.24,936.3,279.94,79.76,14.52,4.724646205,14.701952
1999-01-05,Winter,50,1,7.12,0.9,11.37,7.84,902.2,848.75,55.28,17.67,3.467166859,19.321117
1999-01-05,Winter,50,2,8.71,7.9,9.41,7.39,1332.6,274.95,48.32,7.62,1.7927213,19.321117
1999-01-05,Winter,60,1,7.1,4.6,11.44,7.68,1313.1666666666665,591.49,51.76,16.24,6.831088421,26.287529
1999-01-05,Winter,60,2,6.76,7.0,10.8,7.59,1405.9333333333334,427.7,50.92,10.63,8.389908571,26.287529
1999-01-05,Winter,70,1,7.04,2.1,11.86,7.65,1663.1,486.79,50.77,11.27,6.182596086,27.707521
1999-01-05,Winter,70,2,6.84,7.3,10.68,7.66,1382.8666666666668,373.38,44.61,8.53,7.663520627,27.707521
1999-01-05,Winter,100,1,7.35,8.5,11.62,7.73,1772.9,209.92,11.39,13.62,13.42658238,36.56346
1999-01-05,Winter,100,2,8.36,10.5,9.12,7.63,1848.6333333333337,205.66,13.98,10.13,3.95266662,36.56346
1999-01-05,Winter,120,1,7.23,8.7,11.61,7.75,2211.266666666667,175.97,14.24,14.94,11.18095729,42.875336
1999-01-05,Winter,120,2,7.69,10.1,10.58,7.76,1674.7333333333333,98.49,14.1,17.61,10.23551974,42.875336
1999-01-05,Winter,140,1,7.27,9.9,11.94,7.85,1745.5333333333333,11.79,10.96,19.28,14.89807125,50.378166
1999-01-05,Winter,140,2,7.48,11.2,10.9,7.85,1278.9,6.18,13.38,28.34,3.062923239,50.378166
1999-01-05,Winter,160,1,7.69,12.3,11.46,7.76,1768.1666666666667,6.55,14.43,31.08,12.3617775,58.992
1999-01-05,Winter,160,2,8.59,13.9,9.83,7.66,1215.6,6.19,11.18,26.27,9.997468819,58.992
1999-01-19,Winter,0,1,10.29,0.0,8.68,7.21,1063.1,904.93,73.95,20.55,1.229168233,0.0
1999-01-19,Winter,0,2,10.34,0.0,8.44,6.95,1075.8,904.93,86.41,21.05,0.7239608865,0.0
1999-01-19,Winter,20,1,10.55,0.1,9.03,7.83,1002.8666666666667,926.58,83.08,22.05,0.6184325881,8.672616
1999-01-19,Winter,20,2,10.49,0.1,8.55,7.38,1128.9666666666667,923.06,81.66,23.22,0.9119800607,8.672616
1999-01-19,Winter,30,1,10.72,0.1,9.61,7.59,651.25,869.33,172.04,22.25,0.8784974246,14.701952
1999-01-19,Winter,30,2,10.04,0.1,9.1,7.39,923.1,864.86,185.18,23.33,1.104819398,14.701952
1999-01-19,Winter,50,1,10.45,0.2,9.78,8.09,547.9,789.86,50.71,21.08,0.7792279197,19.321117
1999-01-19,Winter,50,2,10.08,0.5,9.26,7.66,1513.0,716.92,140.89,22.69,1.959534907,19.321117
1999-01-19,Winter,60,1,10.63,0.9,9.96,7.65,819.45,692.29,50.81,18.3,4.304554399,26.287529
1999-01-19,Winter,60,2,9.01,9.0,3.13,7.15,745.5,265.34,71.69,7.46,4.251743736,26.287529
1999-01-19,Winter,70,1,10.44,0.5,11.07,7.95,1116.8,515.91,37.2,15.71,9.850083594,27.707521
1999-01-19,Winter,70,2,9.01,9.5,2.92,7.23,1378.65,165.44,188.75,10.91,5.376972994,27.707521
1999-01-19,Winter,100,1,10.54,2.8,12.37,8.58,5419.4,462.14,5.92,22.68,59.59374666,36.56346
1999-01-19,Winter,100,2,8.37,12.6,7.35,7.49,2179.4,1.59,8.32,8.401347826086958,8.076060906,36.56346
1999-01-19,Winter,120,1,9.75,5.3,11.34,7.9,971.2,199.1,5.45,4.19,3.069369092,42.875336
1999-01-19,Winter,120,2,8.24,13.4,7.12,7.46,3025.65,84.44623167857142,7.77,7.89713043478261,30.132919,42.875336
1999-01-19,Winter,140,1,9.95,10.3,13.0,8.45,2054.1,109.6176118125,5.04,8.483809523809525,30.16298354,50.378166
1999-01-19,Winter,140,2,8.89,12.9,9.16,8.01,7307.25,45.775334038461544,6.33,7.132545454545454,16.0456152,50.378166
1999-01-19,Winter,160,1,9.58,11.0,11.6,8.23,1685.05,106.47777777777777,4.71,7.5426086956521745,12.11492588,58.992
1999-01-19,Winter,160,2,8.76,13.6,10.34,8.08,1945.95,16.595,7.34,7.887054272727272,9.074236948,58.992
1999-02-03,Winter,0,1,11.19,0.0,8.3,6.71,654.1,458.74,44.63,20.25,1.507303184,0.0
1999-02-03,Winter,0,2,11.18,0.0,8.07,6.53,741.2,461.2,53.78,20.49,0.9483914109,0.0
