Date,Season,Station,YSI_Temp,YSI_Salinity,YSI_DO,YSI_pH,POC,NOx,NH4,PO4,TotalChla,Distance
1999-01-05,Winter,0.0,6.4,0.0,10.57,8.06,1070.7,1099.89,53.44,16.22,0.2194788525,0.0
1999-01-05,Winter,20.0,6.64,0.1,10.74,8.24,1076.3,1114.91,52.17,19.0,1.002726269,8.672616
1999-01-05,Winter,30.0,6.84,0.5,10.65,8.0,750.3333333333334,930.14,82.34,19.32,0.7390953285,14.701952
1999-01-05,Winter,50.0,7.12,0.9,11.37,7.84,902.2,848.75,55.28,17.67,3.467166859,19.321117
1999-01-05,Winter,60.0,7.1,4.6,11.44,7.68,1313.1666666666665,591.49,51.76,16.24,6.831088421,26.287529
1999-01-05,Winter,70.0,7.04,2.1,11.86,7.65,1663.1,486.79,50.77,11.27,6.182596086,27.707521
1999-01-05,Winter,100.0,7.35,8.5,11.62,7.73,1772.9,209.92,11.39,13.62,13.42658238,36.56346
1999-01-05,Winter,120.0,7.23,8.7,11.61,7.75,2211.266666666667,175.97,14.24,14.94,11.18095729,42.875336
1999-01-05,Winter,140.0,7.27,9.9,11.94,7.85,1745.5333333333333,11.79,10.96,19.28,14.89807125,50.378166
1999-01-05,Winter,160.0,7.69,12.3,11.46,7.76,1768.1666666666667,6.55,14.43,31.08,12.3617775,58.992
1999-01-01,Winter,180.0,7.527499975562097,15.039999911785127,11.273749859333039,7.983749899864197,1259.59375,12.702499999999997,14.704795375000002,6.273125000000001,8.536044143692736,72.92814
1999-02-03,Winter,0.0,11.19,0.0,8.3,6.71,654.1,458.74,44.63,20.25,1.507303184,0.0
1999-02-03,Winter,20.0,11.01,0.0,8.07,7.74,620.0,474.56,39.3,20.56,0.9903313717,8.672616
1999-02-03,Winter,30.0,13.16,0.0,7.88,7.21,584.1,447.11,27.51,21.53,1.033705456,14.701952
1999-02-03,Winter,50.0,12.41,0.0,8.25,7.73,707.4,493.05,27.43,22.19,1.053291423,19.321117
1999-02-03,Winter,60.0,12.13,0.3,8.12,7.57,783.45,498.04,48.44,26.06,1.639338567,26.287529
1999-02-03,Winter,70.0,11.9,0.6,8.78,7.34,793.8,514.33,52.16,23.5,1.634817923,27.707521
1999-02-03,Winter,100.0,11.24,1.9,9.59,7.55,1113.5,516.62,90.79,4.55,10.18556305,36.56346
1999-02-03,Winter,120.0,11.14,3.2,10.37,7.69,1629.35,453.72,99.97,17.78,14.66647074,42.875336
1999-02-03,Winter,140.0,11.39,5.8,10.18,8.1,2988.8,161.03,21.48,0.91,17.97202564,50.378166
1999-02-03,Winter,160.0,11.39,7.3,11.27,8.14,6951.0,60.49,8.44,1.8,19.54836708,58.992
1999-02-01,Winter,180.0,7.4494444168938525,14.127222135331897,11.330555453830293,8.003333275053235,1365.0055555555555,104.61194444444446,13.347881277777777,5.240429799999999,7.572683751341826,72.92814
1999-03-02,Spring,0.0,9.98,0.1,9.86,7.41,590.8,776.33,102.85,15.99,0.7618756572,0.0
1999-03-02,Spring,20.0,9.52,0.1,9.78,7.61,637.0,755.22,149.0,22.86,0.924763282,8.672616
1999-03-02,Spring,30.0,9.91,0.3,10.12,7.6,784.3,755.49,173.56,26.04,0.9812580458,14.701952
1999-03-02,Spring,50.0,9.94,0.5,10.4,7.94,809.35,712.86,68.93,23.92,1.778179358,19.321117
1999-03-02,Spring,60.0,10.03,1.6,10.3,7.82,954.05,624.04,72.99,21.56,2.642908,26.287529
1999-03-02,Spring,70.0,10.04,2.6,10.36,7.86,937.45,511.86,57.7,16.04,4.768908305,27.707521
1999-03-02,Spring,100.0,9.7,5.5,12.02,8.38,3206.4,76.21,5.34,6.71430440909091,13.1919504,36.56346
1999-03-02,Spring,120.0,9.27,7.0,11.48,8.04,3706.8,237.18261111111113,5.52,6.153388515151515,19.55534855,42.875336
1999-03-02,Spring,140.0,9.44,8.8,10.25,8.39,1832.3,263.5983333333333,5.58,4.6465021166666665,9.046047196,50.378166
1999-03-02,Spring,160.0,9.28,9.6,10.12,8.29,2651.35,162.318,5.63,6.940147749999999,13.18406491,58.992
1999-03-01,Spring,180.0,10.686110962761774,13.227222191492716,10.60722213321262,8.041666653951008,1219.5861111111112,20.578000000000007,17.89033605555555,4.304027777777777,7.778104029479589,72.92814
1999-04-14,Spring,0.0,19.04,0.0,6.9,7.08,541.45,421.6359,83.153576,25.18443,0.4172128481,0.0
1999-04-14,Spring,20.0,18.68,0.1,6.32,7.29,337.2,362.7216,133.43955,30.3008,0.3062396439,8.672616
1999-04-14,Spring,30.0,18.35,0.1,8.15,7.76,634.3,305.7886,98.856461,36.79588,3.210776019,14.701952
