,Date,Groud_Truth,Prediction
0,2014-01-20,0.91,1.0331863
1,2014-01-27,0.92,1.0672176
2,2014-02-03,1.01,0.9467746
3,2014-02-10,1.47,1.3525814
4,2014-02-17,1.28,1.9544464
5,2014-02-24,2.34,1.9307386
6,2014-03-03,1.24,1.1632808
7,2014-03-10,1.33,1.1976953
8,2014-03-17,1.38,1.1056465
9,2014-03-24,1.59,1.107532
10,2014-04-01,2.06,1.6705912
11,2014-04-07,5.19,3.9894657
12,2014-04-14,4.15,4.974274
13,2014-04-21,1.56,2.9338024
14,2014-04-28,1.73,1.1910626
15,2014-05-05,2.2,1.0258585
16,2014-05-12,0.57,0.70913804
17,2014-05-19,0.7,1.1521608
18,2014-05-27,0.74,1.0797698
19,2014-06-02,0.93,1.2769471
20,2014-06-09,1.3,1.9353154
21,2014-06-16,1.01,1.6231611
22,2014-06-23,0.87,0.9589591
23,2014-06-30,2.51,1.4519364
24,2014-07-07,0.77,1.2743968
25,2014-07-14,1.92,1.1692513
26,2014-07-21,1.8,1.9040266
27,2014-07-28,1.95,1.428213
28,2014-08-04,1.31,1.2545954
29,2014-08-11,1.13,1.3202878
30,2014-08-18,1.24,1.4420897
31,2014-08-25,0.92,1.184378
32,2014-09-02,1.1,1.2749636
33,2014-09-08,0.97,1.0431879
34,2014-09-15,0.965,1.0357434
35,2014-09-22,0.96,1.1858904
36,2014-09-29,0.58,0.9762846
37,2014-10-06,0.89,0.8646789
38,2014-10-13,0.55,0.7335544
39,2014-10-20,0.65,0.8094368
40,2014-10-27,0.53,0.77202463
41,2014-11-03,0.63,0.7495404
42,2014-11-10,0.75,0.800847
43,2014-11-17,0.94,0.6606493
44,2014-11-24,0.58,0.5946288
45,2014-12-01,0.43,0.7377659
46,2014-12-08,1.69,1.6499654
47,2014-12-15,0.86,0.99037063
48,2014-12-22,1.22,0.7707677
49,2014-12-29,1.17,1.2428565
50,2015-01-05,0.91,0.93364936
51,2015-01-12,0.8,0.8197499
52,2015-01-19,0.82,0.7383311
53,2015-01-26,0.53,0.57312906
54,2015-02-02,0.69,0.69568
55,2015-02-09,1.3,0.83666426
56,2015-02-17,0.22,0.5142553
57,2015-02-23,0.76,0.8061348
58,2015-03-02,0.68,0.8699926
59,2015-03-09,0.74,0.5731943
60,2015-03-16,0.71,0.77595574
61,2015-03-23,0.96,0.9636109
62,2015-03-30,1.09,0.9423214
63,2015-04-06,1.34,1.0340196
64,2015-04-13,1.07,0.8457829
65,2015-04-20,2.05,1.3726517
66,2015-04-27,1.15,1.3872589
67,2015-05-04,1.52,1.545623
68,2015-05-11,1.85,1.3940481
69,2015-05-18,2.46,1.6676736
70,2015-05-26,2.49,2.4398239
