date,Prediction
2014/1/13,1.42105
2014/1/20,2.0189
2014/1/27,1.55445
2014/2/3,1.7659
2014/2/10,1.8179
2014/2/17,1.7731
2014/2/24,1.5496
2014/3/3,1.7012
2014/3/10,1.5607
2014/3/17,1.58165
2014/3/24,1.7085
2014/4/1,1.5709
2014/4/7,2.36965
2014/4/14,1.6058
2014/4/21,1.7411
2014/4/28,2.0626
2014/5/5,1.70035
2014/5/12,1.7358
2014/5/19,2.1497
2014/5/27,2.5796
2014/6/2,1.88535
2014/6/9,2.1303
2014/6/16,1.46095
2014/6/23,1.4275
2014/6/30,1.8538
2014/7/7,2.00275
2014/7/14,1.718
2014/7/21,2.30095
2014/7/28,1.84335
2014/8/4,1.8907
2014/8/11,2.0926
2014/8/18,1.82955
2014/8/25,1.56555
2014/9/2,1.63005
2014/9/8,1.9268
2014/9/15,1.9243
2014/9/22,1.94565
2014/9/29,2.17365
2014/10/6,2.04315
2014/10/13,2.11875
2014/10/20,2.5519
2014/10/27,1.69425
2014/11/3,1.67575
2014/11/10,1.28045
2014/11/17,1.7084
2014/11/24,1.76755
2014/12/1,1.86595
2014/12/8,2.22115
2014/12/15,1.7472
2014/12/22,1.71795
2014/12/29,1.9887
2015/1/5,1.67425
2015/1/12,1.7481
2015/1/19,1.5326
2015/1/26,1.81075
2015/2/2,2.1853
2015/2/9,1.6007
2015/2/17,1.6889
2015/2/23,1.8921
2015/3/2,1.7261
2015/3/9,1.49755
2015/3/16,2.26925
2015/3/23,1.868
2015/3/30,1.61055
2015/4/6,2.09975
2015/4/13,1.89975
2015/4/20,1.73015
2015/4/27,2.1276
2015/5/4,1.91335
2015/5/11,1.51845
2015/5/18,1.36445
2015/5/26,1.5282
