date,flow (cfs)
1/1/1974,3036.234038
1/2/1974,3125.359163
1/3/1974,3927.485287
1/4/1974,4506.798599
1/5/1974,5145.52866
1/6/1974,5650.571035
1/7/1974,6051.634097
1/8/1974,6378.426221
1/9/1974,6526.968096
1/10/1974,6378.426221
1/11/1974,5784.258722
1/12/1974,4952.424223
1/13/1974,4551.361161
1/14/1974,4625.632099
1/15/1974,4789.028161
1/16/1974,4551.361161
1/17/1974,3853.21435
1/18/1974,3169.921726
1/19/1974,2813.421226
1/20/1974,2664.879352
1/21/1974,2650.025164
1/22/1974,2754.004476
1/23/1974,2694.587726
1/24/1974,2605.462602
1/25/1974,3021.379851
1/26/1974,3942.339475
1/27/1974,4536.506974
1/28/1974,4937.570036
1/29/1974,5338.633098
1/30/1974,5784.258722
1/31/1974,6096.196659
2/1/1974,6304.155284
2/2/1974,6541.822283
2/3/1974,6957.739533
2/4/1974,7626.177969
2/5/1974,8472.866655
2/6/1974,9245.284404
2/7/1974,9913.722841
2/8/1974,10418.76522
2/9/1974,10626.72384
2/10/1974,10478.18196
2/11/1974,9928.577028
2/12/1974,9141.305092
2/13/1974,8368.887343
2/14/1974,7834.136594
2/15/1974,7581.615407
2/16/1974,7254.823282
2/17/1974,6645.801596
2/18/1974,6319.009471
2/19/1974,6482.405533
2/20/1974,7091.42722
2/21/1974,7819.282406
2/22/1974,8487.720843
2/23/1974,9052.179967
2/24/1974,9378.972092
2/25/1974,9527.513966
2/26/1974,9482.951404
2/27/1974,9349.263717
2/28/1974,9171.013467
3/1/1974,8933.346467
3/2/1974,8383.741531
3/3/1974,6705.218346
3/4/1974,5249.507973
3/5/1974,4447.381849
3/6/1974,3853.21435
3/7/1974,3526.422225
3/8/1974,3288.755226
3/9/1974,3110.504976
3/10/1974,2947.108914
3/11/1974,2813.421226
3/12/1974,2828.275414
3/13/1974,2917.400539
3/14/1974,2917.400539
3/15/1974,3006.525664
3/16/1974,3318.463601
3/17/1974,4090.881349
3/18/1974,4566.215349
3/19/1974,4714.757223
3/20/1974,5279.216348
3/21/1974,5828.821284
3/22/1974,6185.321784
3/23/1974,6467.551346
3/24/1974,6794.34347
3/25/1974,7076.573032
3/26/1974,7314.240032
3/27/1974,7581.615407
3/28/1974,7730.157282
3/29/1974,7819.282406
3/30/1974,8220.345468
3/31/1974,8844.221342
4/1/1974,9393.826279
4/2/1974,9720.618404
4/3/1974,10077.1189
4/4/1974,10493.03615
4/5/1974,11324.87065
4/6/1974,11755.64209
4/7/1974,11770.49628
4/8/1974,11562.53765
4/9/1974,11265.4539
4/10/1974,10537.59871
4/11/1974,9408.680467
4/12/1974,8012.386844
4/13/1974,6779.489283
4/14/1974,6422.988783
4/15/1974,6645.801596
4/16/1974,7388.51097
4/17/1974,7774.719844
4/18/1974,7878.699156
4/19/1974,7566.761219
4/20/1974,6794.34347
4/21/1974,5769.404534
4/22/1974,4848.444911
4/23/1974,4120.589724
4/24/1974,3511.568038
4/25/1974,2961.963101
4/26/1974,2739.150289
4/27/1974,2501.483289
4/28/1974,2338.087227
4/29/1974,2174.691165
4/30/1974,2041.003477
5/1/1974,1907.31579
5/2/1974,1788.48229
5/3/1974,1729.06554
5/4/1974,1699.357165
5/5/1974,1862.753228
5/6/1974,2427.212352
5/7/1974,2783.712851
5/8/1974,2828.275414
5/9/1974,3051.088226
5/10/1974,3526.422225
5/11/1974,3749.235037
5/12/1974,3496.71385
5/13/1974,3734.38085
5/14/1974,4313.694162
5/15/1974,4774.173973
5/16/1974,5115.820285
5/17/1974,5398.049847
5/18/1974,5650.571035
5/19/1974,5932.800597
5/20/1974,6170.467596
5/21/1974,5412.904035
5/22/1974,3927.485287
5/23/1974,3422.442913
5/24/1974,3437.2971
5/25/1974,3585.838975
5/26/1974,3526.422225
5/27/1974,4061.172974
5/28/1974,4254.277412
5/29/1974,4373.110911
5/30/1974,4848.444911
5/31/1974,5442.61241
6/1/1974,6007.071534
6/2/1974,6601.239033
6/3/1974,6333.863659
6/4/1974,4655.340474
6/5/1974,4283.985787
6/6/1974,4283.985787
6/7/1974,3957.193662
6/8/1974,3333.317788
6/9/1974,2664.879352
6/10/1974,2204.39954
6/11/1974,1922.169978
6/12/1974,1729.06554
6/13/1974,1580.523666
6/14/1974,1476.544353
6/15/1974,1406.729672
6/16/1974,1332.458735
6/17/1974,1341.371247
6/18/1974,2352.941414
6/19/1974,3749.235037
6/20/1974,4254.277412
6/21/1974,4358.256724
6/22/1974,3927.485287
6/23/1974,2605.462602
6/24/1974,2026.14929
6/25/1974,2026.14929
6/26/1974,1951.878353
6/27/1974,1907.31579
6/28/1974,1818.190665
6/29/1974,1743.919728
6/30/1974,1625.086228
7/1/1974,1595.377853
7/2/1974,1521.106916
7/3/1974,1580.523666
7/4/1974,1388.904647
7/5/1974,1222.537747
7/6/1974,1182.431441
7/7/1974,1137.868879
7/8/1974,1234.421097
7/9/1974,1437.923466
7/10/1974,1535.961103
7/11/1974,1565.669478
7/12/1974,1420.098441
7/13/1974,1247.789866
7/14/1974,1133.412623
7/15/1974,1056.170848
7/16/1974,1066.568779
7/17/1974,1010.122866
7/18/1974,873.4643417
7/19/1974,811.0767543
7/20/1974,769.4850293
7/21/1974,848.212223
7/22/1974,1127.470948
7/23/1974,1125.985529
7/24/1974,1259.673216
7/25/1974,1409.70051
7/26/1974,1506.252728
7/27/1974,1550.815291
7/28/1974,1758.773915
7/29/1974,3051.088226
7/30/1974,3645.255725
7/31/1974,3972.04785
8/1/1974,3630.401538
8/2/1974,3244.192663
8/3/1974,4417.673474
8/4/1974,5056.403535
8/5/1974,5813.967097
8/6/1974,6556.676471
8/7/1974,8413.449905
8/8/1974,10389.05684
8/9/1974,11755.64209
8/10/1974,13582.70715
8/11/1974,14815.60471
8/12/1974,15409.77221
8/13/1974,15706.85596
8/14/1974,15855.39783
8/15/1974,15706.85596
8/16/1974,14221.43721
8/17/1974,13330.18596
8/18/1974,11844.76721
8/19/1974,9765.180966
8/20/1974,8042.095219
8/21/1974,6942.885345
8/22/1974,5917.946409
8/23/1974,5338.633098
8/24/1974,5175.237035
8/25/1974,5011.840973
8/26/1974,4848.444911
8/27/1974,4417.673474
8/28/1974,4061.172974
8/29/1974,3407.588725
8/30/1974,2947.108914
8/31/1974,2739.150289
9/1/1974,2590.608414
9/2/1974,2679.733539
9/3/1974,2650.025164
9/4/1974,2308.378852
9/5/1974,2263.81629
9/6/1974,3853.21435
9/7/1974,5026.695161
9/8/1974,5917.946409
9/9/1974,6556.676471
9/10/1974,7091.42722
9/11/1974,7537.052844
9/12/1974,7848.990781
9/13/1974,8027.241031
9/14/1974,8101.511968
9/15/1974,8071.803594
9/16/1974,8042.095219
9/17/1974,8086.657781
9/18/1974,8042.095219
9/19/1974,6215.030159
9/20/1974,3764.089225
9/21/1974,3006.525664
9/22/1974,2486.629102
9/23/1974,2219.253727
9/24/1974,2174.691165
9/25/1974,2338.087227
9/26/1974,2442.066539
9/27/1974,2278.670477
9/28/1974,2011.295103
9/29/1974,1743.919728
9/30/1974,1595.377853
10/1/1974,1669.648791
10/2/1974,1639.940416
10/3/1974,1565.669478
10/4/1974,1476.544353
10/5/1974,1369.594203
10/6/1974,1286.410754
10/7/1974,1216.596072
10/8/1974,1164.606416
10/9/1974,1124.50011
10/10/1974,1090.335479
10/11/1974,1051.714591
10/12/1974,1022.006216
10/13/1974,998.2395165
10/14/1974,984.8707478
10/15/1974,953.6769541
10/16/1974,941.7936041
10/17/1974,1038.345823
10/18/1974,1158.664741
10/19/1974,1273.041985
10/20/1974,1580.523666
10/21/1974,1684.502978
10/22/1974,1773.628103
10/23/1974,1907.31579
10/24/1974,1847.89904
10/25/1974,1714.211353
10/26/1974,1565.669478
10/27/1974,1418.613022
10/28/1974,1308.692035
10/29/1974,1243.33361
10/30/1974,1198.771047
10/31/1974,1142.325135
11/1/1974,1103.704248
11/2/1974,1065.08336
11/3/1974,1044.287498
11/4/1974,1027.947891
11/5/1974,1017.54996
11/6/1974,1002.695773
11/7/1974,992.2978415
11/8/1974,971.501979
11/9/1974,961.1040478
11/10/1974,950.7061166
11/11/1974,950.7061166
11/12/1974,950.7061166
11/13/1974,934.3665104
11/14/1974,919.5123229
11/15/1974,903.1727166
11/16/1974,903.1727166
11/17/1974,909.1143916
11/18/1974,955.1623728
11/19/1974,1186.887697
11/20/1974,1535.961103
11/21/1974,2011.295103
11/22/1974,2338.087227
11/23/1974,2546.045852
11/24/1974,2768.858664
11/25/1974,2754.004476
11/26/1974,2560.900039
11/27/1974,2308.378852
11/28/1974,2055.857665
11/29/1974,1862.753228
11/30/1974,1743.919728
12/1/1974,2248.962102
12/2/1974,2872.837976
12/3/1974,3080.796601
12/4/1974,3600.693163
12/5/1974,4165.152287
12/6/1974,4387.965099
12/7/1974,4120.589724
12/8/1974,3526.422225
12/9/1974,3214.484288
12/10/1974,3229.338476
12/11/1974,3704.672475
12/12/1974,4343.402537
12/13/1974,4878.153286
12/14/1974,5175.237035
12/15/1974,4937.570036
12/16/1974,4120.589724
12/17/1974,3377.88035
12/18/1974,3051.088226
12/19/1974,3080.796601
12/20/1974,3333.317788
12/21/1974,3645.255725
12/22/1974,3778.943412
12/23/1974,3749.235037
12/24/1974,3764.089225
12/25/1974,3778.943412
12/26/1974,3660.109913
12/27/1974,3407.588725
12/28/1974,3318.463601
12/29/1974,3585.838975
12/30/1974,3897.776912
12/31/1974,4313.694162
1/1/1975,4878.153286
1/2/1975,5398.049847
1/3/1975,5695.133597
1/4/1975,5531.737535
1/5/1975,4893.007473
1/6/1975,4224.569037
1/7/1975,4105.735537
1/8/1975,4447.381849
1/9/1975,4803.882348
1/10/1975,5086.11191
1/11/1975,5427.758222
1/12/1975,5977.363159
1/13/1975,6928.031158
